building_name,address,lat,lng,sale_date
Bay Adelaide East,22 Adelaide St W,43.6495,-79.381,2025-11-04
First Canadian Place,100 King St W,43.6483,-79.3806,2025-09-18
Scotia Plaza,40 King St W,43.6488,-79.3801,2024-06-30
Commerce Court,199 Bay St,43.6478,-79.3789,2025-02-11
TD Centre,66 Wellington St W,43.6473,-79.3815,2025-05-22
Brookfield Place,181 Bay St,43.6474,-79.3781,2023-12-01
RBC Centre,155 Wellington St W,43.6467,-79.3849,2024-08-14
Royal Bank Plaza,200 Bay St,43.6462,-79.3785,2025-07-03
Exchange Tower,130 King St W,43.648,-79.383,2025-01-19
Sun Life Centre,150 King St W,43.6479,-79.3839,2024-11-27
Ernst & Young Tower,222 Bay St,43.6469,-79.3792,2025-04-06
Simcoe Place,200 Front St W,43.6449,-79.3854,2023-09-15
South Core Tower,16 York St,43.6421,-79.3812,2025-10-02
Bremner Tower,10 Bay St,43.6425,-79.3789,2024-03-21
Harbour View Estates,88 Harbour St,43.6405,-79.3782,2025-06-11
Union Centre,65 Front St W,43.6455,-79.3808,2024-12-05
Metro Hall Annex,55 John St,43.6462,-79.3897,
Wellington Yards,220 Wellington St W,999.0,-79.387,2025-03-30
Richmond Row,150 Richmond St W,43.6503,-79.3868,2025-08-09
Peel Block,20 Bay St,43.6412,-79.3778,2024-05-17
